152 19.696178	 0.025585	 0.016260	 0.088147	 0.035691	 0.108694	 0.169085	 0.153006	 0.068513
153 -18.475880	 0.085690	 0.016272	 0.057709	 0.043292	 0.084815	 0.143767	 0.082134	 0.100978
154 -13.854423	 0.071619	 0.020872	 0.083035	 0.056457	 0.070098	 0.250170	 0.068637	 0.147821
155 18.119198	 0.045088	 0.021355	 0.037914	 0.020334	 0.065679	 0.439726	 0.062960	 0.298137
156 -17.212545	 0.047907	 0.017219	 0.033738	 0.027208	 0.095038	 0.130699	 0.120606	 0.072768
157 -18.572542	 0.119109	 0.042901	 0.036903	 0.041333	 0.072710	 0.143601	 0.074784	 0.118484
158 18.639935	 0.047699	 0.022216	 0.049231	 0.022224	 0.056754	 0.433790	 0.056687	 0.290346
159 17.301809	 0.068047	 0.010320	 0.045055	 0.020267	 0.067095	 0.439012	 0.078082	 0.318050
160 -17.014921	 0.016172	 0.017275	 0.098738	 0.033510	 0.082867	 0.207967	 0.080765	 0.131856
161 -18.733013	 0.061623	 0.024066	 0.047020	 0.039019	 0.062829	 0.161902	 0.115538	 0.074850
162 18.668575	 0.073023	 0.025330	 0.053627	 0.062574	 0.113573	 0.328874	 0.094399	 0.164357
163 17.904943	 0.059005	 0.029170	 0.040572	 0.028150	 0.035124	 0.435448	 0.081768	 0.298077
164 18.876532	 0.086663	 0.011076	 0.065846	 0.067456	 0.083607	 0.392923	 0.103151	 0.244708
165 -16.610588	 0.121661	 0.033536	 0.074439	 0.042803	 0.065762	 0.130735	 0.083866	 0.110475
166 19.628302	 0.098572	 0.035453	 0.075031	 0.059549	 0.089791	 0.365764	 0.139405	 0.240626
167 18.773806	 0.008541	 0.017361	 0.036751	 0.023122	 0.048410	 0.396289	 0.048633	 0.265328
168 -15.520863	 0.064585	 0.010374	 0.046716	 0.049589	 0.081305	 0.218125	 0.120463	 0.132413
169 18.020510	 0.107281	 0.010245	 0.042107	 0.023376	 0.129971	 0.437070	 0.118903	 0.316472
170 18.167988	 0.037591	 0.023091	 0.030693	 0.018836	 0.033616	 0.435114	 0.046221	 0.302159
171 -18.616587	 0.033748	 0.034434	 0.049698	 0.057657	 0.074990	 0.131075	 0.109712	 0.098441
172 -18.954634	 0.027991	 0.027831	 0.055471	 0.058095	 0.067488	 0.277131	 0.082777	 0.187019
173 19.656368	 0.069211	 0.014266	 0.056123	 0.041277	 0.065372	 0.419268	 0.080901	 0.305716
174 -19.399445	 0.031924	 0.019466	 0.055249	 0.024546	 0.094853	 0.338387	 0.119705	 0.242786
175 -12.302869	 0.120728	 0.034675	 0.080728	 0.045257	 0.098584	 0.253505	 0.104832	 0.179391
176 -18.735031	 0.082650	 0.022993	 0.085025	 0.050640	 0.111711	 0.292069	 0.126007	 0.195847
177 15.836052	 0.036121	 0.028766	 0.081454	 0.043423	 0.085547	 0.161006	 0.068308	 0.119581
178 -18.983294	 0.054724	 0.041538	 0.065185	 0.045780	 0.059013	 0.208549	 0.113694	 0.103614
